Target,Text,length,punct
ham,Msg me when rajini comes.,25,1
ham,Why did I wake up on my own &gt;:(,34,4
ham,"A Boy loved a gal. He propsd bt she didnt mind. He gv lv lttrs, Bt her frnds threw thm. Again d boy decided 2 aproach d gal , dt time a truck was speeding towards d gal. Wn it was about 2 hit d girl,d boy ran like hell n saved her. She asked 'hw cn u run so fast?' D boy replied ""Boost is d secret of my energy"" n instantly d girl shouted ""our energy"" n Thy lived happily 2gthr drinking boost evrydy Moral of d story:- I hv free msgs:D;): gud ni8",446,21
ham,Ok c ü then.,12,1
ham,Ok good then i later come find ü... C lucky i told ü to go earlier... Later pple take finish ü no more again...,111,9
ham,Okie... Thanx...,16,6
ham,Maybe you should find something else to do instead???,53,3
ham,Tired. I haven't slept well the past few nights.,48,3
ham,What * u wearing?,17,2
ham,Convey my regards to him,24,0
ham,You didn't have to tell me that...now i'm thinking. Plus he's going to stop all your runs,89,7
ham,Becoz its  &lt;#&gt;  jan whn al the post ofice is in holiday so she cn go fr the post ofice...got it duffer,108,8
ham,Got it..mail panren paru..,26,4
ham,Thats cool! Sometimes slow and gentle. Sonetimes rough and hard :),66,4
ham,Well there's not a lot of things happening in Lindsay on New years *sighs* Some bars in Ptbo and the blue heron has something going,131,3
ham,Wrong phone! This phone! I answer this one but assume the other is people i don't well,86,3
ham,Don't necessarily expect it to be done before you get back though because I'm just now headin out,97,2
ham,K ill drink.pa then what doing. I need srs model pls send it to my mail id pa.,78,3
ham,Hahaha..use your brain dear,27,2
ham,"Under the sea, there lays a rock. In the rock, there is an envelope. In the envelope, there is a paper. On the paper, there are 3 words... '",140,11
ham,Huh so early.. Then ü having dinner outside izzit?,50,3
ham,Hai dear friends... This is my new &amp; present number..:) By Rajitha Raj (Ranju),82,11
ham,Only saturday and sunday holiday so its very difficult:),56,2
ham,At 7 we will go ok na.,22,1
ham,He like not v shock leh. Cos telling shuhui is like telling leona also. Like dat almost all know liao. He got ask me abt ur reaction lor.,137,4
ham,Book which lesson? then you msg me... I will call up after work or sth... I'm going to get specs. My membership is PX3748,121,9
ham,Hey what's up charles sorry about the late reply.,49,2
ham,My uncles in Atlanta. Wish you guys a great semester.,53,2
ham,I'm very happy for you babe ! Woo hoo party on dude!,52,3
ham,", how's things? Just a quick question.",38,4
ham,Ok lor then we go tog lor...,28,3
ham,"Funny fact Nobody teaches volcanoes 2 erupt, tsunamis 2 arise, hurricanes 2 sway aroundn no 1 teaches hw 2 choose a wife Natural disasters just happens",151,2
ham,Yup. Wun believe wat? U really neva c e msg i sent shuhui?,58,3
ham,I am back. Good journey! Let me know if you need any of the receipts. Shall i tell you like the pendent?,104,4
ham,Ok i thk i got it. Then u wan me 2 come now or wat?,51,2
ham,"Yo my trip got postponed, you still stocked up?",47,2
ham,So are you guys asking that i get that slippers again or its gone with last year,80,0
ham,By monday next week. Give me the full gist,42,1
ham,Oh is it! Which brand?,22,2
ham,Nothing just getting msgs by dis name wit different no's..,58,3
ham,"Sun cant come to earth but send luv as rays. cloud cant come to river but send luv as rain. I cant come to meet U, but can send my care as msg to U. Gud evng",157,4
ham,"yeah, that's what I was thinking",32,2
ham,U still painting ur wall?,25,1
ham,What u talking bout early morning? It's almost noon where your at!,66,3
ham,Wat r u doing now?,18,1
ham,As in different styles?,23,1
ham,Haha... Hope ü can hear the receipt sound... Gd luck!,53,7
ham,Not able to do anything.,24,1
ham,Please ask mummy to call father,31,0
